priority,activity,session_id,drive_file_id,file_name,mime_type,media_kind
1,pruning,4.1,1JSND22J6kwM67Nm2f2xTDMhykSa6W0ON,video_589889320447115572-Sp0NOQkj.mp4,video/mp4,video
1,pruning,4.1,1tcnsoHRAtcOSOGJO_TwTNWKo-3ilklWV,video_589889275701493863-Zr1f6HQ2.mp4,video/mp4,video
1,pruning,4.1,1t_UpQ0id5C3fq7B0D7qMuLdpQ5h6Kzvj,video_589889253337727012-8fCe2OM7.mp4,video/mp4,video
1,pruning,4.1,1ke5nYV-e9sdWOls_mIZITnFfm3dwfbc5,video_589889165944946948-vTsQ8TH2.mp4,video/mp4,video
1,pruning,4.1,1ML1Wu5YLtbrqMfqRcmkFDxEOIt0cOmog,video_589889209683935779-DEyq6xSF.mp4,video/mp4,video
1,pruning,4.1,16ZipA2LAo7-xJ8mE4yzK-FHOwtiuUjfp,IMG_0669.mov,video/quicktime,video
1,pruning,4.1,1b89MHjnDQ_6KCG7TakUOiaxGkH7pQ096,IMG_0666.jpeg,image/jpeg,image
1,pruning,4.1,1KubvxW0VWe2HYJvWJ0HL4iLBB5aw9QBI,IMG_0667.jpeg,image/jpeg,image
1,pruning,4.1,1hSl6ff2vySLcT0mvAoQk5UGQf_e0XXNz,IMG_0668.jpeg,image/jpeg,image
1,pruning,4.3,18JpLHtDGHCZmofPaCPZIypkLP_CvQkMS,IMG_1361.jpeg,image/jpeg,image
1,pruning,4.3,1DvV4fXTmrlAxui8gOFPch9RXdpI04ZR9,IMG_1364.jpeg,image/jpeg,image
1,pruning,4.3,1fSB40rH4ZRANk2SRWE-KqXLxUlN2-5TI,IMG_1382.jpeg,image/jpeg,image
1,pruning,4.3,1aAUQvK5jSo9bQD6RGLN4fmP515cRGKQ1,IMG_1360.jpeg,image/jpeg,image
1,pruning,4.3,1HCPMSCEcoVvc7OmEanFW-H3_iV4cvXwh,IMG_1357.jpeg,image/jpeg,image
1,pruning,4.3,1eZZsh-Krd0XV5G8FaoL0PAwopEc8xhO-,IMG_1361 2.jpeg,image/jpeg,image
1,pruning,4.3,1NsCWwUedktuD6qaHzKKT-dgKYR4iEy0L,IMG_1377.jpeg,image/jpeg,image
1,pruning,4.3,1gH0bGKSrZ7smzG9Lqzsk7JKMnVwszqLl,IMG_1381.jpeg,image/jpeg,image
1,pruning,4.3,1nr5sPuvwhmOafsbruqq-YKJ0W6ejeO01,IMG_1356.jpeg,image/jpeg,image
1,pruning,4.3,1fH3_9e52_D4dSGq83TcWZax-JcO-aOTs,IMG_1375.jpeg,image/jpeg,image
1,pruning,4.3,1EfsH6uRrvXcuYrRtxc8k4qIvTr2Sn7C3,IMG_1356 2.jpeg,image/jpeg,image
1,pruning,4.3,1BWWXwnCsjvJaHygkewN3X4eyCJVYFfnC,video_589889443926638678-gL9euQlY.mp4,video/mp4,video
1,pruning,4.3,1hFyjcYMQdZ-hb-LY1KueGzFzWqVph5aN,video_589889534154506619-phqX0AmL.mp4,video/mp4,video
1,pruning,4.3,1JJmXuR_SNOtcGkzwtLh84PqhRYAXOS4-,2cfStz_KmjHZqhhzfNDsfc_mkLH3CLw-sYf_jstI7X8.mp4,video/mp4,video
1,harvesting,5.3,1WZIlyCL568Q2E8DSZkF_rk6P4zi_sDuA,IMG_0654.mov,video/quicktime,video
1,harvesting,5.3,1jZlSR5voZJK1Hb83O1WG9-UUHAssJeJ7,IMG_1141.mov,video/quicktime,video
1,harvesting,5.3,1r23ByDTKTxLh4UIyWD2tqrA0m93XC1_f,IMG_0651.jpeg,image/jpeg,image
1,harvesting,5.3,1GfO3htb7gMUS7rcqQ63fuXWltoMHZl8q,IMG_0652.jpeg,image/jpeg,image
1,harvesting,5.3,17U3i5aHU8u--3IhiF4-g3tNgZcadiqQ5,IMG_1144.mov,video/quicktime,video
1,harvesting,5.3,12rCkxwc0hBS-y8Xn_X_bZLxuFjxwRZCi,IMG_0653.jpeg,image/jpeg,image
1,harvesting,5.3,1t_Yawj8-564W5-3BAOdjrw4mf0fGVG98,IMG_0634.jpeg,image/jpeg,image
1,harvesting,5.3,12sL8b9m4u58oR3P1qoYFVjcsbJ_8s3M6,IMG_0650.jpeg,image/jpeg,image
1,harvesting,5.4,1XhN1tih56z-NC7xb19x5OEZzPPficmF6,IMG_1145.mov,video/quicktime,video
1,harvesting,5.4,1p18Y6ut_brAg3MqNwHEryLcSkCb1Y38Y,IMG_0641.jpeg,image/jpeg,image
1,harvesting,5.4,17p3ljWZewLFtHBYCS3Hc0dROkrR7Q8kk,IMG_0640.jpeg,image/jpeg,image
1,harvesting,5.4,1VWjNy9LUBBPQiGKJY1zfJHeykutDSUCE,IMG_0633.jpeg,image/jpeg,image
1,harvesting,5.4,1t_4XaWi3Tk01TnMqfggRO1OQWq9VbTL9,IMG_0643.jpeg,image/jpeg,image
1,harvesting,5.4,1CTrWUy5kjTX4-UkTbMbYbX7R2nZNaKMu,IMG_0644.jpeg,image/jpeg,image
1,harvesting,5.4,1hfWowAb_CHeInv5q1ex1WUmFO9LiUZHt,IMG_0645.jpeg,image/jpeg,image
1,harvesting,5.4,1zOx_Csp-rI3jfMxcSyY3hMgBZfohXCtd,IMG_0639.jpeg,image/jpeg,image
1,harvesting,5.4,1xtHRgewsGXnBbhEmjUeTCbmb1nO7-orI,IMG_0632.jpeg,image/jpeg,image
1,harvesting,5.4,1fZCHRihJeD_AXnHkGPVMHRlyky5Uyh9j,IMG_0622.jpeg,image/jpeg,image
1,on_farm_transport,6.2,1XYIpsZ8d9raTR5DT8gWvkPtF6jCWQ94E,IMG_1144.mov,video/quicktime,video
1,on_farm_transport,6.2,1Qdz7RZo_yiNuaLxXFrPTOlnzGGXWMK5k,IMG_0659.mov,video/quicktime,video
1,on_farm_transport,6.2,1pdWJpR7VuQ8O9wdk4ccBpfdcRzYLZBta,IMG_0653.jpeg,image/jpeg,image
1,on_farm_transport,6.2,1PnHJfJbksLOe-88mixlm6OL-6LGi-Y1z,IMG_0651.jpeg,image/jpeg,image
1,on_farm_transport,6.2,19xaAdsE69OhsvvbZ3QWvhKqH2IarA1Y0,IMG_0650.jpeg,image/jpeg,image
1,on_farm_transport,6.2,1-iY4h67zx69R9z2VojtLqUNQaPYf_vWl,IMG_0652.jpeg,image/jpeg,image
